WONUM,TASKDESC,TASKDESC - CATEGORY,WOC.TEXTS
43,ORQ TOWER 2  ANNUAL SHUT DOWN,I&C,"ORQ TOWER 2  ANNUAL SHUT DOWN- PERIOD FROM 06/09/2008 @ 2200HRS TO 07/09/2008 @ 1000HRS.
SCHEDULED MAINTENANCE CARRIED OUT AS ATTACHED.
STAFF RECALLED BACK WILL BE ARIFF,YUSLANE + 1 SHIFT OT (EITHER RAMA OR AZAM)

07/09/2008 - TOWER 2 ANNUAL SHUTDOWN

Subject: ORQ - Intake station annual maintenance shutdown works.

Shutdown Date: 06.09.08 to 07.09.08 
Timing: 22:00 to 04:30 Hrs.
Location: Tower 2 intake station

Person Involved:
1.	Yuslane
2.	Ariff
3.	Rama
4.	Azamshah

Maintenance Equipments:
1.	LCP (Local control panel) maintenance
2.	Primary Flow control valve Verification (Big and Small valve)
3.	Heat Exchanger Changeover

Description of the carryout works:

LCP panel maintenance

1.	Tightening of the all control cables at terminal block.
2.	Visual checking and tightening of the all control equipment conditions.
3.	Housekeeping of the inside LCP panel.

Flow control valve maintenance and Stroke calibration/ verification.

1.	Stroke checking of the pneumatic flow control valve with standard reference input
2.	Checking of air leakage at all joints in the control valve by soap oil spraying method.
3.	Checking of Air regulator and filter. The filter element was changed because of the air filter is saturated and yellowish colour due to absorbed the moisture from compressed air.
4.	Maintenance and calibration/verification of the control valve by standard reference equipments.
5.	Checking of the air lockout unit conditions whether the valve holding or not when the compressed air line fail.
     
 Note: A pressure gauge (close position) was changed as the existing gauge was broken.

Heat Exchanger changeover at Tower 2 intake station:

1.	Changeover the heat exchanger.
2.	Currently the two heat exchanger (HEX) in operation out of 3 HEX at tower 1.
3.	Standby HEX no. 3 changeover to operation and running HEX no.2 put to standby.
      
 Note: HEX no.1 is currently under ORQ temperature monitoring link-up at secondary side.

Dear Yuslane

Thank you  for update.  Please copy the detail into our MP2 WorkOrder and closed it.

Please discuss with Teo to consider to create a file  to keep records on the maintenance report for our Intake station  (if we currently do not have.) 

Best Regards

Ang



Yuslane Bin Ishak/SDC 
08/09/2008 11:12 AM	
	To
	cheekeongang@singaporepower.com.sg, apparsamy@singaporepower.com.sg, delacruz@singaporepower.com.sg, Jalaludeen@singaporepower.com.sg, Teo Hock San/SDC@SPower
	cc
	Arulandu Leo Valan/SDC@SPower, Azamshah Bin Mohd Hashim/SDC@SPower, Palanisamy Karuppiah/SDC, Maung Zaw Latt/SDC, Ariff Shah Bin Mohd Azhar/SDC@Spower, ramachandran@singaporepower.com.sg, Sahwan Bin Salim/SDC@Spower, kimleng@singaporepower.com.sg, Chellappa Vinodh/SDC
	Subject
	Tower 2 Annual Shutdown Report
	
	
	
	

Dear All, 

Subject: ORQ – Intake station annual maintenance shutdown works.

Shutdown Date: 06.09.08 to 07.09.08 
Timing: 22:00 to 04:30 Hrs.
Location: Tower 2 intake station

Person Involved:
1. Yuslane
2. Ariff
3. Rama
4. Azamshah

Maintenance Equipments:
1. LCP (Local control panel) maintenance
2. Primary Flow control valve Verification (Big and Small valve)
3. Heat Exchanger Changeover

Description of the carryout works:

LCP panel maintenance

1. Tightening of the all control cables at terminal block.
2. Visual checking and tightening of the all control equipment conditions.
3. Housekeeping of the inside LCP panel.

Flow control valve maintenance and Stroke calibration/ verification.

1. Stroke checking of the pneumatic flow control valve with standard reference input
2. Checking of air leakage at all joints in the control valve by soap oil spraying method.
3. Checking of Air regulator and filter. The filter element was changed because of the air filter is saturated and yellowish colour due to absorbed the moisture from compressed air.
4. Maintenance and calibration/verification of the control valve by standard reference equipments.
5. Checking of the air lockout unit conditions whether the valve holding or not when the compressed air line fail.
     
 Note: A pressure gauge (close position) was changed as the existing gauge was broken.

Heat Exchanger changeover at Tower 2 intake station:

1. Changeover the heat exchanger.
2. Currently the two heat exchanger (HEX) in operation out of 3 HEX at tower 1.
3. Standby HEX no. 3 changeover to operation and running HEX no.2 put to standby.
      
 Note: HEX no.1 is currently under ORQ temperature monitoring link-up at secondary side."
45,Inspection of Air Receiver by MOM approved examiner,OPERATIONS,"Instruction to OT
1. Apply LOTO to isolate air receiver from system
2. Discharge compressed air from air receiver
3. Open manway for inspection
4. Replace gasket and close manway
5. Fill air receiver with compressed air
6. Remove LOTO

Parts Replaced:
1. 2pcs 4"" gasket 150lbs for both Air receiver."
46,"RACK-OUT breaker BC2-1 , F26 for chiller annual  maintenance of BC2",TASK,"07/09/2008- RAMA ASSISTED MR.HO/PE ISOLATE THE BREAKERS FOR EQUIPMENTS :
            1)BCDP-2
            2)BC-2-1
            3)BC-2-2
            4)BC-2-3

*** APPLY LOTO FOR ABOVEMENTIONED EQUIPMENTS AND KEYS B1-1-2,B1-1-3,B1-1-5 & B1-1-6 PUT INSIDE LOTO KEYBOX."
47,SAIL Intake station Flow accounting,I&C,"Meera, Find attached ONLINE output showing SAIL flow not accounted for Plant flow calculation.Please ask ABB or yourself try to include in the logic when possible.

11/09/2008 - THE FLOW IS MAPPED TO RESPECTIVE LOAD CALCULATION FROM SAIL FLOW. - MEERA"
48,Annual maintenance for chiller - BC2,TASK,"Work Instruction  (To be carried out by Yuslane and OTs)
1.  Collect sample of compressors oil for analysis - Collected earlier
2.  LOTO(Electrical)by LEW ready by 6:30pm 07/09/08 - Rama assist & OT 1.5hrs (6:30-8:00pm)
3.  LOTO(Mechanical)- Yuslane ** Done on 08/09/08
4.  Drain out cooling water in condenser ** Done on 08/09/08
5.  Transfer Brine in evaporator to temporary storage tanks ** Done on 08/09/08 - Yuslane OT 4.5hrs (5:30-10:00pm)
6.  Remove insulation on evaporator water box ** Done on 09/09/08 - Tan KL
7.  Check condition of tubes and water box in condenser and evaporator ** Done on 09/09/08 - Tan KL
8.  Clean tubes and water box of condenser and evaporator ** Done on 09/09/08 - Tan KL
9.  Re-paint tube sheet and water box of condenser and evaporator ** Done on 10/09/08 - Tan KL
10. Inspect terminal box of compressor motors ** Done on 12/09/08 - Jason & Tan KL
11. Megger inlsulation of oil heaters and oil pumps ** Done on 10/09/08 - Jason
12. Megger insulation of compressor motors by LEW ** Done on 12/09/08 - Jason & Tan KL
13. Replace refrigerant filter dryers ** Done on 11/09/08 - Tan KL
14. Replace oil filters ** Done on 11/09/08 - Tan KL
15. Check operation of safety valves. ** Done on 09/09/08 - Tan KL
16. Check operation of pressure gauges ** Done on 11/09/08 - Tan KL
17. Check operation of temperature sensors ** Done on 11/09/08 - Tan KL & Meera
18. Check operation of differential pressure sensors ** Done on 10/09/08 - Tan KL
19. Check operation of protective relay ** Done on 11/09/08 - Tan KL & Meera 
20. Restore insulation on evaporator water box ** Done on 14/09/08 - Yuslane
21. Fill cooling water in condenser ** Done on 13/09/08 - Yuslane
22. Transfer Brine from temporary storage tanks to evaporator ** Done on 13/09/08 - Yuslane
23. Purge air in Brine circuit,Cooling Water circuit and oil circuit. ** Done on 17/09/08 - Shan & Jason
24. Remove LOTO and re-connect power supply to chiller - LEW ** Done on 17/09/08 - Jason"
49,VSD PUMPS OVERLOAD ALARM,ELEC,"VSD Drive: BP2-1
1. LCP Nominal Current Parameter for BP2-1 is 198.5 Amps
2. Parameter found to be  same as in the name plate rating
3. Parameter is within acceptable rating."
49,VSD PUMPS OVERLOAD ALARM,ELEC,"VSD Drive:  DSP-2
1. LCP Nominal Current Parameter for DSP-2 is 313.0 Amps
2. Parameter found to be  same as in the name plate rating
3. Parameter is within acceptable rating."
49,VSD PUMPS OVERLOAD ALARM,ELEC,"1. LCP Nominal Current Parameter for BP1-1 is 198.5 Amps
2. Parameter found to be  same as in the name plate rating
3. Parameter is within acceptable rating."
49,VSD PUMPS OVERLOAD ALARM,ELEC,"VSD Drive:  DSP-1
1. LCP Nominal Current Parameter for DSP-1 is 313 Amps
2. Parameter found to be  same as in the name plate rating
3. Parameter is within acceptable rating."
49,VSD PUMPS OVERLOAD ALARM,ELEC,". LCP Nominal Current Parameter for WCP2 is 100 Amps
2. Parameter found to be  same as in the name plate rating
3. Parameter is within acceptable rating."
49,VSD PUMPS OVERLOAD ALARM,ELEC,"1. LCP Nominal Current Parameter for WCP3 is 100 Amps
2. Parameter found to be  same as in the name plate rating
3. Parameter is within acceptable rating.


DESCRIPTION - OVERLOAD ALARM ALWAYS TRIGGERRED WHEN PUMPS ARE RUNNING DURING HIGH PLANT LOAD AND DISRUPT OTS' OPERATION FOCUS.-YUSLANE

JASON - NEED TO CHECK PUMPS MAX. RATED CURRENT IN THE PUMPS' SPECIFICATION
MEERA- AFTER JASON VERIFICATION, NEED TO SET THE OVERLOAD ALARM SET-POINT HIGHER IF ABLE TO DO SO."
49,VSD PUMPS OVERLOAD ALARM,ELEC,
49,VSD PUMPS OVERLOAD ALARM,ELEC,
50,CARGO LIFT DCL01 BREAKDOWN,FACILITY,"05/09/2008 - MITSUBISHI CAME TO ATTEND LIFT BREAKDOWN
                      WONG INFORMED THEIR PCB BOARD FAULTY AND NEED TO REPLACE PARTS.
                      THEY WILL UPDATE ON MONDAY.

08/09/2008- VINODH CALLED 24HRS HOTLINE AND YANA INFORMED SHE WILL CHECK & FEEDBACK TO US.

11/09/2008- IBRAHIM/MITSUBISHI CAME & REPLACED THE PI CARD(CONTROLLER SIDE) & TEST RUN-LIFT IN WORKING CONDITION"
51,WATER HOSE BROKEN IN MALE TOILET CENTRE CUBICLE,FACILITY,"TO REPLACE THE WATER HOSE - YUSLANE

08/09/08-BUY 1NO.HOSE & REPLACE THE BROKEN HOSE - VINODH"
52,STRAINER CLEANING (CONDENSER/COOLING WATER CIRCUIT),OPERATIONS,"TO CLEAN BC-2 STRAINER ST-230B DURING ANNUAL CHILLER MAINTENANCE - YUSLANE

17/09/2008 - TAKE OUT STRAINER & FOUND VERY DIRTY. THERE'S ALSO FRP DEBRIS.
             CLEAR DEBRIS & SPRAY WITH WATER. FIXED BACK & TEST FOR LEAKAGE-OK. YUSLANE & ZAWLATT"
53,STRAINER CLEANING (EVAPORATOR/CHILLED WATER CIRCUIT),OPERATIONS,"TO CLEAN BC-2 STRAINER ST-131B DURING ANNUAL CHILLER MAINTENANCE-YUSLANE

17/09/2008- STRAINER TAKEN OUT & FOUND IN CLEAN CONDITION.RINSE WITH WATER.-YUSLANE& ZAWLATT
18/09/2008- FIXED BACK AND CHECK FOR LEAKAGE-OK. JASON"
54,TOWER-2 INTAKE STATION ENERGY METER,I&C,"Meera, T2 Energy Meter flucutation occurred again. Please investigate with the respect party. I sent more details by E mail. Thank You.

30/09/2008 - As feedback by Meera, need to buy RMC621 & replace.Awaiting ACK's approval.

04/11/2008 - MEERA INFORMED NEWER VERSION ENERGY METER IS AVAILABLE AT E+H AND AWAITING ORQ'S APPROVAL FOR THE REPLACEMENT WORK.
             DURING THIS, KANDAR WILL ALSO ASSIST TO CHECK ON TOWER 1 ENERGY METER REGARDING FLUCTUATING ISSUE. 

21/11/2008 - MEERA ALREADY SCHEDULED ON 3/12/2008 FROM 1600-1900HRS.

3/12/2008 - KANDAR/E+H CAME FOR NEW PROFIBUS REPLACEMENT WORK.AFTER REPLACED, DCIS UNABLE TO MONITOR FEW READINGS. 
            AS FEEDBACK BY KANDAR, NEW PROFIBUS MODULE IS NOT COMMUNICATING WITH THE OLD BTU METER AS THE BAUD RATE IS NOT COMPATIBLE.
            * NEW PROFIBUS MODULE BAUD RATE :38400
              OLD BTU METER BAUD RATE : 57600.
            THUS, THERE'S A NEED TO ADJUST THE BAUD RATE SETTINGS AT THE OLD BTU METER. SO, MEERA WILL CHECK WITH E+H WHETHER OUTCOME OF DOING THIS            
            WILL RESULT IN BTU METER COUNTER GOES TO ZERO.AND ALSO AWAITING FOR ACK'S ADVICE."
56,BC-2 INSTRUMENTS MAINTENANCE,I&C,15/09/2008- TE330B1 & TE330B2 VERIFICATION WORK DONE- MEERA & RAMA
56,BC-2 INSTRUMENTS MAINTENANCE,I&C,"DURING ANNUAL MAINTENANCE, PLS PERFORM : 1) VALVE STROKE VERIFICATION - FCV-232B
                                                                                       2) TEMPERATURE SENSORS VERIFICATION - TE330B1 & TE330B2 -YUSLANE"
56,BC-2 INSTRUMENTS MAINTENANCE,I&C,
58,To fabricate inpection hole on all chiller evaporator side,FACILITY,"To fabricate inpection hole on evaporator side for all chillers.
To fabricate inpection hole on middle Ice tank 1 and Ice tank 2 near air blower.

Work completed on 23/08/2008 @ 1700hrs by Apecco."
59,LIGHTING SWITCH INTERMITTENT FAULT,FACILITY,"11/09/2008 - INSIDE B1 ICE TANK 2 STAIRCASE,LIGHTING SWITCH INTERMITTENT FAULT WHEN SWITCHED ON. PLS RECTIFY & FEEDBACK IF ANY DIFFICULTIES, - YUSLANE

11/09/2008 - CHECK INTERNAL WIRINGS NORMAL.TIGHTENED CONNECTIONS AND TEST ON/OFF A FEW TIMES OK
             NOTE:INFORMED JASON TO ORDER A FEW SPARES TO KEEP STOCK."
60,COOLING TOWER FAN STACKS BOLTS/NUTS TIGHTENING,MECH,"12/09/2008 - CT-5 FAN STACK BOLTS/NUTS TIGHTENING BY LEO & RAMA
             * FINISHED 1/2 OF THE FAN STACK

14/09/2008 - CT-5 FAN STACK BOLTS/NUTS TIGHTENING BY LEO & ZAWLATT (COMPLETED)
             
15/09/2008 - CT-6 FAN STACK BOLTS/NUTS TIGHTENING BY LEO & ZAWLATT 
             * FINISHED 1/2 OF THE FAN STACK

16/09/2008 - CT-6 FAN STACK BOLTS/NUTS TIGHTENING BY LEO & ZAWLATT (COMPLETED)
             CT-7 FAN STACK BOLTS/NUTS TIGHTENING BY LEO & ZAWLATT
             * FINISHED 1/2 OF THE FAN STACK

17/09/2008 - CT-7 FAN STACK BOLTS/NUTS TIGHTENING BY LEO & ZAWLATT (COMPLETED)
             CT-8 FAN STACK BOLTS/NUTS TIGHTENING BY LEO & ZAWLATT
             * FINISHED 1/2 OF THE FAN STACK

18/09/2008 - CT-8 FAN STACK BOLTS/NUTS TIGHTENING BY LEO & ZAWLATT (COMPLETED)
             CT-10 FAN STACK BOLTS/NUTS TIGHTENING BY LEO & ZAWLATT
             * FINISHED 1/2 OF THE FAN STACK

19/09/2008 - CT-10 FAN STACK BOLTS/NUTS TIGHTENING BY LEO & ZAWLATT (COMPLETED)



**23/09/2008-INFORMED JASON TO OUTSOURCE WORK TO APPECCO (FOR CTS 1,2,3,4 & 9)
             ** JASON ARRANGED 2NOS. APPECCO MANPOWER TO START WORK ON 25/09/2008
                SDC STAFF WILL INSPECT PERIODICALLY.  

29/09/2008 - CT-1 FAN STACK BOLTS/NUTS TIGHTENING BY APECCO(COMPLETED)

02/10/2008 - CT-2 FAN STACK BOLTS/NUTS TIGHTENING BY APECCO(COMPLETED)
             CT-3 FAN STACK BOLTS/NUTS TIGHTENING BY APECCO
             * FINISHED 1/2 OF THE FAN STACK

03/10/2008 - CT-3 FAN STACK BOLTS/NUTS TIGHTENING BY APECCO(COMPLETED)
             CT-4 FAN STACK BOLTS/NUTS TIGHTENING BY APECCO
             * FINISHED 1/2 OF THE FAN STACK   

04/10/2008 - CT-4 FAN STACK BOLTS/NUTS TIGHTENING BY APECCO(COMPLETED)
             CT-9 FAN STACK BOLTS/NUTS TIGHTENING BY APECCO
             * FINISHED 1/2 OF THE FAN STACK"
60,COOLING TOWER FAN STACKS BOLTS/NUTS TIGHTENING,MECH,11/09/2008- COOLING TOWER BOLTS/NUTS ASSEMBLY NEED TO BE TIGHTENED TO AVOID FURTHER STACK VIBRATION - YUSLANE
